,team,goal,shotpg,possesionp,passp,aerialswon,rating
1,1. Bayern Munich,100,18.1,61.5,86.9,14.4,7.15
2,2. Paris Saint-Germain,75,16.6,61.8,89.9,8.8,7.11
3,3. Manchester City,102,19.6,62.6,89.3,13.6,7.05
4,4. Borussia Dortmund,84,13.1,58.5,86.9,11,6.97
5,5. Real Madrid,70,14.8,57.1,86.9,14.1,6.97
6,6. Barcelona,86,13,63.2,88.8,12.5,6.95
7,7. RasenBallsport Leipzig,81,16.2,54.1,82.6,15.5,6.95
8,8. Liverpool,85,15.6,59.6,84.3,17.6,6.94
9,9. Atalanta,98,18.7,55.4,83.9,16.8,6.93
10,10. Juventus,76,17.9,56.4,88.0,11.8,6.88
11,11. Leicester,67,14.2,55.1,82.8,17.8,6.87
12,12. Chelsea,69,16.4,57.9,85.2,18.7,6.86
13,13. Inter,81,16.3,52.8,85.1,14.2,6.85
14,14. Borussia M.Gladbach,66,14.1,51.7,81.8,16.7,6.85
15,15. Bayer Leverkusen,61,14.5,60.1,85.1,15.6,6.84
16,16. Lazio,79,15.3,50.1,84.2,12.4,6.84
17,17. Lyon,42,12.9,54.8,85.0,16.7,6.84
18,18. Manchester United,66,14.3,54.6,83.6,15,6.83
19,19. Wolverhampton Wanderers,51,12.1,48.7,79.2,20.7,6.83
20,20. Marseille,41,13.4,52.8,82.4,17.5,6.82
21,21. Sevilla,54,12.9,55.9,83.0,20.4,6.80
22,22. Roma,77,16.9,52.0,84.7,14.4,6.80
23,23. Rennes,38,12.2,50.0,80.5,18.6,6.80
24,24. AC Milan,63,16.3,53.6,84.5,14.6,6.79
25,25. Tottenham,61,11.7,51.5,81.4,17.1,6.78
26,26. Atletico Madrid,51,11.8,48.9,78.8,22.7,6.78
27,27. Villarreal,63,13,52.6,82.7,15.1,6.75
28,28. Eintracht Frankfurt,59,14.8,50.0,76.5,20.9,6.74
29,29. Burnley,43,10.2,43.9,70.0,25.5,6.74
30,30. Monaco,44,13.6,50.4,82.7,15,6.74
31,31. Montpellier,35,12.6,47.9,77.9,22.6,6.74
32,32. Nice,41,12.1,54.2,87.1,10.5,6.74
33,33. Reims,26,12.1,49.5,79.8,16.3,6.74
34,34. Sassuolo,69,14.6,56.1,86.8,9.4,6.74
35,35. Wolfsburg,48,14,48.6,76.0,19.3,6.73
36,36. Napoli,61,18.1,57.2,88.2,10.8,6.73
37,37. West Ham,49,11,45.4,76.1,22.9,6.72
38,38. Strasbourg,32,12.1,49.7,80.5,19.6,6.72
39,39. Sheffield United,39,9.3,44.4,74.4,25.3,6.72
40,40. Nantes,28,11.9,48.3,79.3,17.4,6.72
41,41. Metz,27,11.1,46.8,78.7,17.1,6.72
42,42. Bordeaux,40,11.1,53.0,82.9,18.3,6.72
43,43. Lille,35,12.5,51.7,81.1,18.1,6.72
44,44. Hoffenheim,53,13.3,51.5,81.7,17.2,6.72
45,45. Arsenal,56,10.7,52.9,83.6,13.5,6.71
46,46. Southampton,51,13.1,49.2,73.4,21.7,6.71
47,47. Freiburg,48,13.2,48.3,78.4,19.3,6.70
48,48. Torino,46,11.7,48.5,79.7,19.3,6.70
49,49. Hertha Berlin,48,10.6,46.5,77.5,18.6,6.69
50,50. Real Sociedad,56,11.3,54.6,81.1,22.4,6.69
51,51. Dijon,27,12,47.5,79.3,20.2,6.69
52,52. Everton,44,12.3,49.0,78.0,23.1,6.68
53,53. Crystal Palace,31,9.9,46.4,76.5,20.8,6.68
54,54. Brest,34,11.6,49.6,79.9,14.9,6.68
55,55. Athletic Bilbao,41,10.8,49.0,76.4,24.9,6.67
56,56. Fiorentina,51,14.4,48.2,81.6,12.8,6.67
57,57. Parma Calcio 1913,56,12.2,45.3,79.4,15.1,6.67
58,58. Verona,47,11.7,49.9,78.1,19.6,6.66
59,59. Newcastle United,38,10.5,41.8,75.3,19.8,6.65
60,60. FC Koln,51,12.3,47.4,76.3,21.5,6.65
61,61. Angers,28,13,46.2,80.1,16.9,6.65
62,62. Union Berlin,41,11.8,43.8,70.5,27.2,6.65
63,63. Granada,52,10.4,45.2,71.3,20.4,6.65
64,64. Udinese,37,12.3,45.9,81.2,13.3,6.64
65,65. Nimes,29,12.8,45.9,73.8,22,6.64
66,66. Schalke 04,38,11.3,49.6,77.7,19,6.63
67,67. Brighton,39,12.2,51.7,81.0,18.7,6.63
68,68. Mainz 05,44,13.3,44.8,75.3,18.4,6.63
69,69. Aston Villa,41,12,45.7,76.9,19,6.62
70,70. Cagliari,52,11.7,46.6,80.5,14.4,6.62
71,71. Real Betis,48,12.6,55.7,83.4,15.8,6.61
72,72. Celta Vigo,37,9.7,51.3,80.5,17.7,6.61
73,73. Bologna,52,14.6,51.8,81.7,17.8,6.61
74,74. Osasuna,46,12.2,47.8,70.5,23.7,6.61
75,75. Getafe,43,10.9,45.8,61.9,25,6.61
76,76. Valencia,46,8.9,49.4,81.7,15,6.60
77,77. Saint-Etienne,29,11,48.6,78.9,19.8,6.60
78,78. Bournemouth,40,10.2,45.6,75.4,21.1,6.60
79,79. Sampdoria,48,14.8,44.4,77.5,16.3,6.60
80,80. Levante,47,11.2,48.8,77.9,14.1,6.60
81,81. Watford,36,11.2,44.3,73.5,21.9,6.59
82,82. Eibar,39,11.3,46.7,69.2,26.4,6.58
83,83. Werder Bremen,42,12.5,48.9,78.6,17.8,6.57
84,84. Real Valladolid,32,9.9,46.0,74.4,17.1,6.57
85,85. Augsburg,45,10.7,41.3,69.8,16.8,6.57
86,86. Lecce,52,13.9,46.0,81.8,13.1,6.55
87,87. Leganes,30,11.4,45.0,72.2,21.3,6.55
88,88. Genoa,47,11.4,49.3,81.2,16.5,6.54
89,89. Mallorca,40,11.1,46.3,77.6,17.5,6.52
90,90. Deportivo Alaves,34,8.2,43.2,70.2,24.5,6.52
91,91. Norwich,26,10.8,49.8,80.5,14.1,6.52
92,92. Paderborn,37,12.7,46.9,77.8,14.1,6.52
93,93. Fortuna Duesseldorf,36,12.6,46.4,77.5,17.6,6.52
94,94. Toulouse,22,11.3,45.4,78.1,17.2,6.51
95,95. Amiens,31,8.4,46.5,77.4,18,6.50
96,96. Brescia,35,11,42.9,75.5,13.7,6.48
97,97. SPAL 2013,27,12.3,47.6,81.1,15.1,6.48
98,98. Espanyol,27,10.8,47.5,74.6,21,6.47
