team,shot,p,tackle,defense
Bayern Munich,18.1,657.9,14.7,17.6
Paris Saint-Germain,16.6,660,17.9,18.9
Manchester City,19.6,692.8,13.5,19.2
Real Madrid,14.8,575.3,15.4,23.3
Borussia Dortmund,13.1,665.1,15.6,21.6
RasenBallsport Leipzig,16.2,541.9,18.1,27.1
Barcelona,13,708.1,14.1,20.1
Liverpool,15.6,628.2,14.5,23.2
Atalanta,18.7,529.8,16.5,21.8
Juventus,17.9,571.8,14.2,22.5
Leicester,14.2,524.1,19.5,29
Chelsea,16.4,611.7,16.8,23.8
Gladbach,14.1,482.4,16.2,26.4
Inter,16.3,501.2,13.8,24.2
Lyon,12.9,524.8,17.6,24.7
Bayer Leverkusen,14.5,622.4,16.4,23.5
Lazio,15.3,469.7,14.4,24.1
Manchester United,14.3,527.7,15.3,25.6
Wolverhampton Wanderers,12.1,441.1,17,25.7
Marseille,13.4,480.6,20.1,26.8
Sevilla,12.9,519.6,15.4,25.2
Rennes,12.2,426,17.9,28.2
Roma,16.9,463.8,13,23.4
AC Milan,16.3,499.7,15.3,24.2
Tottenham,11.7,490.6,17.5,31.5
Atletico Madrid,11.8,424.4,17.3,26.6
Villarreal,13,483.6,14.6,28.2
Burnley,10.2,337.2,14.4,31.2
Eintracht Frankfurt,14.8,432.4,17.5,24.7
Reims,12.1,424.4,17.5,24.2
Monaco,13.6,474.1,18,24.6
Montpellier,12.6,407.3,16,23.8
Sassuolo,14.6,536.8,14.6,24.7
Nice,12.1,519.9,16.8,24.5
Napoli,18.1,602,12.8,18.6
Wolfsburg,14,409.4,17.6,27.8
Nantes,11.9,442.1,19.5,24.1
Sheffield United,9.3,392.6,16.1,31.1
Hoffenheim,13.3,482.1,15.6,29.3
Bordeaux,11.1,499.4,17.3,26
Strasbourg,12.1,426.9,17.5,21.8
Metz,11.1,404.8,18.8,30
Lille,12.5,460.6,15.1,23.4
West Ham,11,397.4,18.3,28.4
Arsenal,10.7,490.8,15.4,27.1
Southampton,13.1,412.3,18.6,32.9
Freiburg,13.2,415.3,12.7,31.2
Torino,11.7,386.4,15.1,30.3
Dijon,12,419.8,18.5,27.8
Real Sociedad,11.3,485,14.5,25.6
Hertha Berlin,10.6,396.9,16.3,32.5
Brest,11.6,455.9,17.3,26
Everton,12.3,416.4,17.6,27.6
Crystal Palace,9.9,386.5,18.1,30.1
Parma Calcio 1913,12.2,374.7,16.2,29.2
Fiorentina,14.4,406.7,15.1,25.9
Athletic Bilbao,10.8,395.6,14,26.6
Verona,11.7,420.4,12.8,27
Angers,13,432.3,15.7,25
Granada,10.4,326.4,15.4,26.9
Newcastle United,10.5,343.8,15.9,33.1
Union Berlin,11.8,354.5,16.2,31.1
FC Koln,12.3,396.7,17.9,29.5
Nimes,12.8,351.9,19.7,24.4
Udinese,12.3,403.7,15.7,28.5
Brighton,12.2,478.6,16.9,27.9
Mainz 05,13.3,362.8,16.9,30.5
Schalke 04,11.3,419.2,17.3,30.2
Aston Villa,12,364,13.8,31.9
Cagliari,11.7,398.6,14.7,30
Osasuna,12.2,368.4,16.1,27.3
Celta Vigo,9.7,446.5,15.5,28.5
Real Betis,12.6,477.5,13.2,24
Bologna,14.6,439.2,15.1,25
Getafe,10.9,306.2,15.3,25
Bournemouth,10.2,386.7,13.3,34.3
Saint-Etienne,11,420,18.3,24.6
Valencia,8.9,436.7,13.2,25.4
Sampdoria,14.8,373.6,15.3,28.3
Levante,11.2,384.2,13.3,26.1
Watford,11.2,370.2,17.3,30.1
Eibar,11.3,355.2,14.9,25.2
Real Valladolid,9.9,363,14.9,27.3
Augsburg,10.7,317.7,15.7,30.3
Werder Bremen,12.5,446.1,16.2,30.5
Lecce,13.9,408,13.8,28
Leganes,11.4,340.5,15.8,25.1
Genoa,11.4,431.9,14.5,27.4
Mallorca,11.1,366.2,14.3,24.3
Fortuna Duesseldorf,12.6,397.4,14.6,25.5
Norwich,10.8,456.9,16.5,33.2
Paderborn,12.7,394.9,18.6,32.1
Deportivo Alaves,8.2,325.4,15.2,27.7
Toulouse,11.3,394.6,19.6,27.7
Amiens,8.4,413.8,15.2,29.4
Brescia,11,340.5,13.3,30.3
SPAL 2013,12.3,400.9,14.6,25.9
Espanyol,10.8,385.6,16.5,27.1
